# ParticleTable.txt file containing particle
# properties for ParticlePropertySvc, EvtGen and Pythia.
# Uses PDG 2014 when available.
# https://gitlab.cern.ch/lhcb-conddb/DDDB/-/blob/master/param/ParticleTable.txt
PARTICLE,GEANTID,PDGID,CHARGE,MASS(GeV),TLIFE(s),EVTGENNAME,PYTHIAID,MAXWIDTH
~mu_R-,909,2000013,-1.0,500.00000000,0.000000e+00,unknown,2000013,0.00000000
~mu_R+,910,-2000013,1.0,500.00000000,0.000000e+00,unknown,-2000013,0.00000000
~nu_muR,911,2000014,0.0,500.00000000,0.000000e+00,unknown,2000014,0.00000000
~nu_muRbar,912,-2000014,0.0,500.00000000,0.000000e+00,unknown,-2000014,0.00000000
~tau_2-,913,2000015,-1.0,500.00000000,0.000000e+00,unknown,2000015,0.00000000
~tau_2+,914,-2000015,1.0,500.00000000,0.000000e+00,unknown,-2000015,0.00000000
~nu_tauR,915,2000016,0.0,500.00000000,0.000000e+00,unknown,2000016,0.00000000
~nu_tauRbar,916,-2000016,0.0,500.00000000,0.000000e+00,unknown,-2000016,0.00000000
pi_tc0,917,3000111,0.0,110.00000000,0.000000e+00,unknown,3000111,0.00000000
rho_tc0,918,3000113,0.0,210.00000000,0.000000e+00,unknown,3000113,0.00000000
pi_tc+,919,3000211,1.0,110.00000000,0.000000e+00,unknown,3000211,0.00000000
pi_tc-,920,-3000211,-1.0,110.00000000,0.000000e+00,unknown,-3000211,0.00000000
rho_tc+,921,3000213,1.0,210.00000000,0.000000e+00,unknown,3000213,0.00000000
rho_tc-,922,-3000213,-1.0,210.00000000,0.000000e+00,unknown,-3000213,0.00000000
pi'_tc0,923,3000221,0.0,110.00000000,0.000000e+00,unknown,3000221,0.00000000
omega_tc,924,3000223,0.0,210.00000000,0.000000e+00,unknown,3000223,0.00000000
eta_tc0,925,3000331,0.0,350.00000000,0.000000e+00,unknown,3000331,0.00000000
V8_tc,926,3100021,0.0,500.00000000,0.000000e+00,unknown,3100021,0.00000000
pi_22_1_tc,927,3100111,0.0,125.00000000,0.000000e+00,unknown,3100111,0.00000000
rho_11_tc,928,3100113,0.0,400.00000000,0.000000e+00,unknown,3100113,0.00000000
pi_22_8_tc,929,3200111,0.0,250.00000000,0.000000e+00,unknown,3200111,0.00000000
rho_12_tc,930,3200113,0.0,350.00000000,0.000000e+00,unknown,3200113,0.00000000
rho_21_tc,931,3300113,0.0,350.00000000,0.000000e+00,unknown,3300113,0.00000000
rho_22_tc,932,3400113,0.0,300.00000000,0.000000e+00,unknown,3400113,0.00000000
d*,933,4000001,-0.3,400.00000000,0.000000e+00,unknown,4000001,0.00000000
d*bar,934,-4000001,0.3,400.00000000,0.000000e+00,unknown,-4000001,0.00000000
u*,935,4000002,0.7,400.00000000,0.000000e+00,unknown,4000002,0.00000000
u*bar,936,-4000002,-0.7,400.00000000,0.000000e+00,unknown,-4000002,0.00000000
e*-,937,4000011,-1.0,400.00000000,0.000000e+00,unknown,4000011,0.00000000
e*bar+,938,-4000011,1.0,400.00000000,0.000000e+00,unknown,-4000011,0.00000000
nu*_e0,939,4000012,0.0,400.00000000,0.000000e+00,unknown,4000012,0.00000000
nu*_ebar0,940,-4000012,0.0,400.00000000,0.000000e+00,unknown,-4000012,0.00000000
gv,4900021,4900021,0.0,0.00000000,0.0000e+00,gv,4900021,0.00000000
Zv,4900023,4900023,0.0,125.00000000,6.5800e-23,Zv,4900023,0.01000000
qv,4900101,4900101,0.0,1.00000000,0.0000e+00,qv,4900101,0.00000000
qvbar,-4900101,-4900101,0.0,1.00000000,0.0000e+00,qvbar,-4900101,0.00000000
pivDiag,4900111,4900111,0.0,1.20000000,5.0000e-12,pivDiag,4900111,2.0000e-11
pivUp,4900211,4900211,0.0,1.20000000,0.0000e+00,pivUp,4900211,0.00000000
pivDn,-4900211,-4900211,0.0,1.20000000,0.0000e+00,pivDn,-4900211,0.00000000
rhovDiag,4900113,4900113,0.0,1.20000000,0.0000e+00,rhovDiag,4900113,0.00000000
rhovUp,4900213,4900213,0.0,1.20000000,0.0000e+00,rhovUp,4900213,0.00000000
rhovDn,-4900213,-4900213,0.0,1.20000000,0.0000e+00,rhovDn,-4900213,0.00000000
Graviton*,941,5000039,0.0,1000.00000000,0.000000e+00,unknown,5000039,0.00000000
nu_Re,942,9900012,0.0,500.00000000,0.000000e+00,unknown,9900012,0.00000000
nu_Rmu,943,9900014,0.0,500.00000000,0.000000e+00,unknown,9900014,0.00000000
nu_Rtau,944,9900016,0.0,500.00000000,0.000000e+00,unknown,9900016,0.00000000
Z_R0,945,9900023,0.0,1200.00000000,0.000000e+00,unknown,9900023,0.00000000
W_R+,946,9900024,1.0,750.00000000,0.000000e+00,unknown,9900024,0.00000000
W_R-,947,-9900024,-1.0,750.00000000,0.000000e+00,unknown,-9900024,0.00000000
H_L++,948,9900041,2.0,200.00000000,0.000000e+00,unknown,9900041,0.00000000
H_L--,949,-9900041,-2.0,200.00000000,0.000000e+00,unknown,-9900041,0.00000000
H_R++,950,9900042,2.0,200.00000000,0.000000e+00,unknown,9900042,0.00000000
H_R--,951,-9900042,-2.0,200.00000000,0.000000e+00,unknown,-9900042,0.00000000
He3[0.0],49,1000020030,2.0,2.80923000,1.000000e+15,He3,0,0.00000000
He3~[0.0],391-1000020030,-2.0,2.80923000,1.000000e+15,anti-He3,0,0.00000000
Li7[0.0],988,1000030070,3.0,6.53536500,0.000000e+00,unknown,0,0.00000000
Be8[0.0],992,1000040080,4.0,7.45689300,0.000000e+00,unknown,0,0.00000000
Be9[0.0],959,1000040090,4.0,8.39479200,0.000000e+00,unknown,0,0.00000000
Be10[0.0],993,1000040100,4.0,9.32754500,0.000000e+00,unknown,0,0.00000000
B10[0.0],994,1000050100,5.0,9.32698900,0.000000e+00,unknown,0,0.00000000
B11[0.0],974,1000050110,5.0,10.25510100,0.000000e+00,unknown,0,0.00000000
B12[0.0],975,1000050120,5.0,11.19129500,0.000000e+00,unknown,0,0.00000000
C12[0.0],953,1000060120,6.0,11.17490000,0.000000e+00,unknown,0,0.00000000
C13[0.0],976,1000060130,6.0,12.11254500,0.000000e+00,unknown,0,0.00000000
C14[0.0],977,1000060140,6.0,13.04393400,0.000000e+00,unknown,0,0.00000000
N14[0.0],955,1000070140,7.0,13.04378000,0.000000e+00,unknown,0,0.00000000
N15[0.0],982,1000070150,7.0,13.04377800,0.000000e+00,unknown,0,0.00000000
N16[0.0],995,1000070160,7.0,14.90958500,0.000000e+00,unknown,0,0.00000000
O16[0.0],956,1000080160,8.0,14.89510000,0.000000e+00,unknown,0,0.00000000
O17[0.0],996,1000080170,8.0,15.83458700,0.000000e+00,unknown,0,0.00000000
O18[0.0],967,1000080180,8.0,16.76610800,0.000000e+00,unknown,0,0.00000000
O19[0.0],997,1000080190,8.0,17.70171700,0.000000e+00,unknown,0,0.00000000
F19[0.0],960,1000090190,9.0,17.69689600,0.000000e+00,unknown,0,0.00000000
Ne22[0.0],983,1000100220,10.0,20.48484100,0.000000e+00,unknown,0,0.00000000
Ne23[0.0],998,1000100230,10.0,21.41920500,0.000000e+00,unknown,0,0.00000000
Na24[0.0],999,1000110240,11.0,22.34743500,0.000000e+00,unknown,0,0.00000000
Mg24[0.0],979,1000120240,12.0,22.34192000,0.000000e+00,unknown,0,0.00000000
Mg25[0.0],989,1000120250,12.0,23.27415400,0.000000e+00,unknown,0,0.00000000
Mg26[0.0],980,1000120260,12.0,24.20262600,0.000000e+00,unknown,0,0.00000000
Mg27[0.0],981,1000120270,12.0,25.13574800,0.000000e+00,unknown,0,0.00000000
Al27[0.0],952,1000130270,13.0,25.12650000,0.000000e+00,unknown,0,0.00000000
Al28[0.0],972,1000130280,13.0,26.06497800,0.000000e+00,unknown,0,0.00000000
Si28[0.0],957,1000140280,14.0,26.05320000,0.000000e+00,unknown,0,0.00000000
Si29[0.0],964,1000140290,14.0,26.99142700,0.000000e+00,unknown,0,0.00000000
Si30[0.0],968,1000140300,14.0,27.92038300,0.000000e+00,unknown,0,0.00000000
P31[0.0],1000,1000150310,15.0,28.85186900,0.000000e+00,unknown,0,0.00000000
Cl39[0.0],1001,1000170390,17.0,36.29846000,0.000000e+00,unknown,0,0.00000000
Cl40[0.0],1002,1000170400,17.0,37.23220100,0.000000e+00,unknown,0,0.00000000
Ar36[0.0],1003,1000180360,18.0,33.50354900,0.000000e+00,unknown,0,0.00000000
Ar40[0.0],973,1000180400,18.0,37.22471500,0.000000e+00,unknown,0,0.00000000
Cr50[0.0],1004,1000240500,24.0,46.52443900,0.000000e+00,unknown,0,0.00000000
Cr52[0.0],978,1000240520,24.0,48.37010000,0.000000e+00,unknown,0,0.00000000
Cr53[0.0],990,1000240530,24.0,49.31389400,0.000000e+00,unknown,0,0.00000000
Cr54[0.0],1005,1000240540,24.0,50.24374100,0.000000e+00,unknown,0,0.00000000
Mn55[0.0],991,1000250550,25.0,51.17445700,0.000000e+00,unknown,0,0.00000000
Fe54[0.0],966,1000260540,26.0,50.24442100,0.000000e+00,unknown,0,0.00000000
Fe56[0.0],961,1000260560,26.0,52.10305600,0.000000e+00,unknown,0,0.00000000
Fe57[0.0],969,1000260570,26.0,53.03497500,0.000000e+00,unknown,0,0.00000000
Fe59[0.0],1006,1000260590,26.0,54.89748000,0.000000e+00,unknown,0,0.00000000
Ni58[0.0],984,1000280580,28.0,53.96642200,0.000000e+00,unknown,0,0.00000000
Ni60[0.0],985,1000280600,28.0,55.82516400,0.000000e+00,unknown,0,0.00000000
Ni61[0.0],1007,1000280610,28.0,56.75690900,0.000000e+00,unknown,0,0.00000000
Ni62[0.0],986,1000280620,28.0,57.68587700,0.000000e+00,unknown,0,0.00000000
Ni63[0.0],1008,1000280630,28.0,58.61860500,0.000000e+00,unknown,0,0.00000000
Ni64[0.0],987,1000280640,28.0,59.54851200,0.000000e+00,unknown,0,0.00000000
Cu63[0.0],954,1000290630,29.0,58.61860000,0.000000e+00,unknown,0,0.00000000
Cu65[0.0],958,1000290650,29.0,60.47984200,0.000000e+00,unknown,0,0.00000000
Mo92[0.0],1009,1000420920,42.0,85.61063000,0.000000e+00,unknown,0,0.00000000
Mo95[0.0],1010,1000420950,42.0,88.40421000,0.000000e+00,unknown,0,0.00000000
Mo96[0.0],1011,1000420960,42.0,89.33462100,0.000000e+00,unknown,0,0.00000000
Mo97[0.0],1012,1000420970,42.0,90.26736500,0.000000e+00,unknown,0,0.00000000
Mo98[0.0],1013,1000420980,42.0,91.19828700,0.000000e+00,unknown,0,0.00000000
Mo100[0.0],1014,1000421000,42.0,93.06320300,0.000000e+00,unknown,0,0.00000000
Pd108[0.0],1015,1000461080,46.0,100.51181600,0.000000e+00,unknown,0,0.00000000
Au197[0.0],1020,1000791970,79.0,183.43336000,0.000000e+00,unknown,0,0.00000000
Pb207[0.0],962,1000822070,82.0,192.79676500,0.000000e+00,unknown,0,0.00000000
Pb208[0.0],963,1000822080,82.0,193.72896200,0.000000e+00,unknown,0,0.00000000
Pb206[0.0],965,1000822060,82.0,191.86393700,0.000000e+00,unknown,0,0.00000000
Pb204[0.0],970,1000822040,82.0,189.99962700,0.000000e+00,unknown,0,0.00000000
Intermediate,971,-99000000,0.0,0.00000000,0.000000e+00,unknown,0,0.00000000

